1,What does DBMS stand for?,Database Management System,Data Backup Management System,Database Manipulation Software,Data Business Management System,A,Easy,DBMS
2,Which SQL command is used to fetch data from a database?,SELECT,FETCH,GET,RETRIEVE,A,Easy,DBMS
3,What is the primary key in a database?,A unique identifier for records,A column that stores primary values,A key used for encryption,A key used to access files,A,Easy,DBMS
4,Which of the following is NOT a type of database?,Hierarchical,Network,Circular,Relational,C,Medium,DBMS
5,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,B,Medium,DBMS
6,Which SQL clause is used to filter records?,WHERE,ORDER BY,GROUP BY,FILTER,A,Easy,DBMS
7,What is a foreign key in a relational database?,A key that uniquely identifies a record,A key that links to the primary key of another table,A key used for foreign transactions,A key stored externally,B,Easy,DBMS
8,Which of the following is a DML command?,SELECT,INSERT,CREATE,DROP,B,Easy,DBMS
9,What is an index in a database?,A reference to another table,A structure that speeds up searches,A collection of primary keys,A table of contents,B,Medium,DBMS
10,Which type of JOIN returns only matching rows from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,A,Medium,DBMS
11,Which SQL constraint ensures that all values in a column are unique?,PRIMARY KEY,FOREIGN KEY,UNIQUE,CHECK,C,Easy,DBMS
12,What does ACID stand for in database transactions?,"Atomicity, Consistency, Isolation, Durability","Atomicity, Control, Integrity, Durability","Authorization, Consistency, Isolation, Dependability","Access, Consistency, Information, Durability",A,Medium,DBMS
13,Which SQL keyword is used to sort records?,SORT BY,ORDER BY,GROUP BY,ARRANGE BY,B,Easy,DBMS
14,Which of the following is NOT a NoSQL database?,MongoDB,Cassandra,PostgreSQL,Redis,C,Hard,DBMS
15,What is the purpose of the GROUP BY clause?,To group identical data into summary rows,To filter records,To join two tables,To order data,A,Medium,DBMS
16,Which command is used to remove a table from a database?,DELETE,DROP,REMOVE,CLEAR,B,Easy,DBMS
17,What type of relationship exists between tables in a relational database?,One-to-One,One-to-Many,Many-to-Many,All of the above,D,Medium,DBMS
18,Which SQL function returns the number of rows in a result set?,SUM(),COUNT(),TOTAL(),NUMBER(),B,Easy,DBMS
19,What does the HAVING clause do?,Filters records after aggregation,Filters records before aggregation,Sorts data,Groups data,A,Medium,DBMS
20,What is a view in SQL?,A stored procedure,A virtual table,A copy of a table,A method for sorting records,B,Medium,DBMS
